,risks,returns
国内株式,0.04559458080237165,0.011640793445905517
国内債券,0.005071605071048033,0.004298083961023158
国内リート,0.061988584280576214,0.06064679928504124
先進国株式,0.0594025093380289,0.07450613817932283
新興国株式,0.04924733492477181,0.013343044920130165
先進国債券,0.017145502710784948,0.019822484336692536
新興国債券,0.027490939865861975,-0.014975854843053749
先進国リート,0.06646172209768175,-0.014846947285687584
