,国内株式,国内債券,国内リート,先進国株式,新興国株式,先進国債券,新興国債券,先進国リート
0,0.03,0.4384543729553383,0.0828602208196454,0.1120154149722764,0.03,0.2466699912527401,0.03,0.03
10,0.03,0.2172078290289864,0.1348725871109692,0.1932446404452366,0.03,0.3346749434148078,0.03,0.03
20,0.03,0.03,0.1896898947012789,0.2820432363287718,0.03,0.3782668689699492,0.03,0.03
30,0.03,0.03,0.2599339589345873,0.4124722347094024,0.03,0.1775938063560102,0.03,0.03
39,0.03,0.03,0.192901080166102,0.6270989198338981,0.03,0.03,0.03,0.03
